;1 1 1;1 2 1;1 3 1;2 1 1;2 2 1;2 3 1;3 1 1;3 2 1;3 3 1;4 1 1;4 2 1;4 3 1;5 1 1;5 2 1;5 3 1;;;;;;;;;;;;;;;;;
12.08.11;0;0;0;158,38;148,88;144,13;168,28;158,19;153,14;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
13.08.11;0;0;0;158,38;148,88;144,13;168,28;158,19;138,47;188,08;176,8;157,34;197,98;170,5;165,8;;;;;;;;;;;;;;;;;
14.08.11;0;0;0;158,38;148,88;144,13;168,28;158,19;153,14;188,08;176,8;171,15;0;0;0;;;;;;;;;;;;;;;;;
15.08.11;0;0;0;134,31;128,14;134,63;147,42;0;0;164,14;0;147,6;186,1;0;160,83;;;;;;;;;;;;;;;;;
16.08.11;0;130,67;0;133,62;126,08;134,63;158,19;0;0;161,28;0;159,87;186,1;0;154,92;;;;;;;;;;;;;;;;;
17.08.11;0;130,67;0;134,97;127,64;134,63;158,19;0;0;161,28;0;147,13;186,1;0;163,16;;;;;;;;;;;;;;;;;
18.08.11;0;130,67;0;148,88;125,84;134,63;158,19;0;0;176,8;0;159,87;186,1;0;154,11;;;;;;;;;;;;;;;;;
19.08.11;148,48;139,58;135,12;158,38;148,88;144,13;0;0;0;188,08;176,8;156,52;197,98;170,53;164,96;;;;;;;;;;;;;;;;;
20.08.11;148,48;139,58;135,12;158,38;148,88;144,13;168,28;158,19;153,14;188,08;176,8;171,15;0;0;0;;;;;;;;;;;;;;;;;
21.08.11;0;139,58;0;158,38;148,88;0;168,28;158,19;0;188,08;176,8;171,15;197,98;0;0;;;;;;;;;;;;;;;;;
22.08.11;0;0;0;134,89;127,8;134,63;158,19;0;0;161,26;0;147,19;186,1;0;163,8;;;;;;;;;;;;;;;;;
23.08.11;0;0;0;134,54;129,3;134,63;158,19;0;0;161,98;0;159,87;186,1;0;157,57;;;;;;;;;;;;;;;;;
24.08.11;0;0;0;134,93;127,79;134,63;158,19;0;0;161,26;0;147,17;186,1;0;163,38;;;;;;;;;;;;;;;;;
25.08.11;0;130,67;0;148,88;139,38;134,63;158,19;0;0;176,8;0;159,87;186,1;0;168,28;;;;;;;;;;;;;;;;;
26.08.11;0;139,58;0;158,38;148,88;144,13;168,28;158,19;0;0;176,8;0;197,98;0;0;;;;;;;;;;;;;;;;;
27.08.11;148,48;139,58;135,12;158,38;148,88;144,13;168,28;158,19;153,14;188,08;176,8;171,15;197,98;186,1;180,16;;;;;;;;;;;;;;;;;
28.08.11;0;139,58;0;0;148,88;0;168,28;158,19;0;0;0;0;197,98;0;0;;;;;;;;;;;;;;;;;
29.08.11;0;130,67;0;134,31;128,14;134,63;147,42;0;0;164,14;0;147,6;186,1;0;160,83;;;;;;;;;;;;;;;;;
30.08.11;0;130,67;0;148,88;139,38;134,63;158,19;0;0;176,8;0;159,87;0;0;0;;;;;;;;;;;;;;;;;
31.08.11;0;130,67;0;134,95;127,74;134,63;158,19;0;0;161,27;0;147,16;186,1;0;163,53;;;;;;;;;;;;;;;;;
01.09.11;0;130,74;0;148,96;125,53;134,7;158,27;0;0;176,89;0;159,95;186,2;0;154,29;;;;;;;;;;;;;;;;;
02.09.11;0;0;0;158,47;148,96;144,21;168,37;158,27;138,62;188,18;176,89;156,99;198,09;170,85;165,14;;;;;;;;;;;;;;;;;
03.09.11;0;0;0;158,47;148,96;131,16;168,37;158,27;143,67;172,29;176,89;171,25;198,09;173,09;168,65;;;;;;;;;;;;;;;;;
04.09.11;0;0;0;158,47;148,96;144,21;168,37;158,27;138,62;188,18;176,89;156,99;198,09;170,85;165,14;;;;;;;;;;;;;;;;;
05.09.11;0;0;0;148,96;139,45;134,7;158,27;0;0;176,89;0;159,95;0;0;0;;;;;;;;;;;;;;;;;
06.09.11;0;0;0;0;0;0;158,27;0;0;161,83;0;159,95;186,2;0;157,7;;;;;;;;;;;;;;;;;
07.09.11;0;130,74;0;135,09;127,88;134,7;158,27;0;0;161,44;0;147,32;186,2;0;163,71;;;;;;;;;;;;;;;;;
08.09.11;0;130,74;0;148,96;139,45;134,7;158,27;0;0;176,89;0;159,95;186,2;0;168,37;;;;;;;;;;;;;;;;;
09.09.11;0;0;0;143,17;148,96;144,21;168,37;158,27;139,59;171,77;162,18;158,52;198,09;173,84;170,83;;;;;;;;;;;;;;;;;
10.09.11;148,56;139,65;135,19;158,47;148,96;144,21;168,37;158,27;153,22;188,18;176,89;171,25;0;0;0;;;;;;;;;;;;;;;;;
11.09.11;0;139,65;0;158,47;148,96;144,21;168,37;158,27;0;0;176,89;0;198,09;0;0;;;;;;;;;;;;;;;;;
12.09.11;0;130,74;0;134,46;128,28;134,7;147,52;0;0;164,29;0;147,76;186,2;0;160,98;;0;149,0436;0;0;0;0;0;0;0;0;0;0;0;0;0;149,0436
13.09.11;0;130,74;0;134,68;129,2;134,7;158,27;0;0;162,23;0;159,95;186,2;0;157,4;;;;;;;;;;;;;;;;;
14.09.11;0;130,74;0;135,11;127,79;134,7;158,27;0;0;161,46;0;147,28;186,2;0;163,33;;;;;;;;;;;;;;;;;
15.09.11;0;130,74;0;148,96;125,53;134,7;158,27;0;0;176,89;0;159,95;186,2;0;154,29;;;;;;;;;;;;;;;;;
16.09.11;0;0;0;0;0;0;168,37;158,27;153,22;188,18;176,89;171,25;198,09;186,2;180,26;;;;;;;;;;;;;;;;;
17.09.11;0;0;0;143,34;148,96;130,63;168,37;158,27;142,11;171,75;162,75;158,38;198,09;172,75;171,09;;;;;;;;;;;;;;;;;
18.09.11;0;139,65;0;158,47;148,96;144,21;168,37;158,27;0;188,18;176,89;0;198,09;0;0;;;;;;;;;;;;;;;;;
19.09.11;0;130,74;0;135,11;127,79;134,7;158,27;0;0;161,46;0;147,28;186,2;0;163,33;;;;;;;;;;;;;;;;;
20.09.11;0;130,74;0;134,68;129,2;134,7;158,27;0;0;162,23;0;159,95;186,2;0;157,4;;;;;;;;;;;;;;;;;
21.09.11;0;130,74;0;135,11;127,79;134,7;158,27;0;0;161,46;0;147,28;186,2;0;163,33;;;;;;;;;;;;;;;;;
22.09.11;0;130,74;0;148,96;139,45;134,7;158,27;0;0;176,89;0;159,95;186,2;0;168,37;;;;;;;;;;;;;;;;;
23.09.11;0;139,65;0;158,47;148,96;0;168,37;158,27;0;0;176,89;171,25;198,09;0;0;;;;;;;;;;;;;;;;;
24.09.11;148,56;139,65;135,19;158,47;148,96;144,21;168,37;158,27;153,22;188,18;176,89;171,25;0;0;0;;;;;;;;;;;;;;;;;
25.09.11;148,56;139,65;135,19;158,47;148,96;144,21;168,37;158,27;153,22;188,18;176,89;171,25;0;0;0;;;;;;;;;;;;;;;;;
26.09.11;0;130,74;0;134,46;128,27;134,7;147,52;0;0;164,29;0;147,76;186,2;0;160,98;;;;;;;;;;;;;;;;;
27.09.11;0;130,74;0;134,68;129,2;134,7;158,27;0;0;162,23;0;159,95;186,2;0;157,4;;;;;;;;;;;;;;;;;
28.09.11;0;130,74;0;135,11;127,79;134,7;158,27;0;0;161,46;0;147,28;186,2;0;163,33;;;;;;;;;;;;;;;;;
29.09.11;0;130,74;0;148,96;125,94;134,7;158,27;0;0;176,89;0;159,95;186,2;0;154,28;;;;;;;;;;;;;;;;;
30.09.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
01.10.11;0;0;0;164,21;154,36;149,43;174,47;164;158,77;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
02.10.11;153,95;144,71;140,09;164,21;154,36;149,43;174,47;164;158,77;195;183,3;177,45;205,26;192,95;186,79;;;;;;;;;;;;;;;;;
03.10.11;0;135,47;0;143,7;135,73;139,58;164;0;0;173,69;0;157,23;192,95;0;165,63;;;;;;;;;;;;;;;;;
04.10.11;0;135,47;0;144,18;137,68;139,58;164;0;0;173,7;0;165,75;192,95;0;168,26;;;;;;;;;;;;;;;;;
05.10.11;0;135,47;0;143,7;135,73;139,58;164;0;0;173,69;0;157,23;192,95;0;165,63;;;;;;;;;;;;;;;;;
06.10.11;0;135,47;0;154,36;144,5;139,58;164;0;0;183,3;0;165,75;192,95;0;174,47;;;;;;;;;;;;;;;;;
07.10.11;0;0;0;148,82;154,36;149,43;0;0;0;179,6;183,3;177,45;0;0;0;;;;;;;;;;;;;;;;;
08.10.11;138,55;144,71;140,09;164,21;154,36;149,43;0;0;0;195;183,3;177,45;0;0;0;;;;;;;;;;;;;;;;;
09.10.11;138,55;144,71;140,09;164,21;154,36;149,43;0;0;0;179,6;183,3;177,45;189,87;183,18;177,57;;;;;;;;;;;;;;;;;
;1 1 1;1 2 1;1 3 1;2 1 1;2 2 1;2 3 1;3 1 1;3 2 1;3 3 1;4 1 1;4 2 1;4 3 1;5 1 1;5 2 1;5 3 1;;;;;;;;;;;;;;;;;
12.08.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
13.08.11;0;0;0;1;0;1;0,96;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
14.08.11;0;0;0;1;0,97;0;0,96;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
15.08.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
16.08.11;0;1,14;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
17.08.11;0;1,14;0;0;0;1,06;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
18.08.11;0;1,14;0;1;0;0;1;0;0;1;0;1;1,03;0;0;;;;;;;;;;;;;;;;;
19.08.11;0;0,95;1;1;0;1;0;0;0;1;1;0;0,98;0;0;;;;;;;;;;;;;;;;;
20.08.11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
21.08.11;0;0,95;0;1;0,97;0;0,96;0;0;1;1;1;0;0;0;;;;;;;;;;;;;;;;;
22.08.11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
23.08.11;0;0;0;0;0;1,06;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
24.08.11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
25.08.11;0;1,14;0;1;1;1,06;1;0;0;1;0;1;1,03;0;1;;;;;;;;;;;;;;;;;
26.08.11;0;0;0;1;0;1;0,96;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
27.08.11;0,99;0,95;1;1;0,97;1;0,96;0,99;1;1;1;1;0,98;1;1;;;;;;;;;;;;;;;;;
28.08.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
29.08.11;0;1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
30.08.11;0;1,14;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
31.08.11;0;1,14;0;0;0;1,06;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
01.09.11;0;1,14;0;1;0;0;1;0;0;1;0;1;1,03;0;0;;;;;;;;;;;;;;;;;
02.09.11;0;0;0;1;0;1;0,96;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
03.09.11;0;0;0;1;0,97;0;0,96;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
04.09.11;0;0;0;1;0;1;0,96;0,99;0;1;1;0;0,98;0;0;;;;;;;;;;;;;;;;;
05.09.11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
06.09.11;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
07.09.11;0;1,14;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
08.09.11;0;1,14;0;1;1;1,06;1;0;0;1;0;1;1,03;0;1;;;;;;;;;;;;;;;;;
09.09.11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
10.09.11;0;0,95;0;1;0,97;0;0,96;0;0;1;1;1;0;0;0;;;;;;;;;;;;;;;;;
11.09.11;0;0;0;1;0;1;0,96;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
12.09.11;0;1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
13.09.11;0;1,14;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
14.09.11;0;1,14;0;0;0;1,06;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
15.09.11;0;1,14;0;1;0;0;1;0;0;1;0;1;1,03;0;0;;;;;;;;;;;;;;;;;
16.09.11;0;0;0;0;0;0;0,96;0,99;1;1;1;1;0,98;1;1;;;;;;;;;;;;;;;;;
17.09.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
18.09.11;0;0,95;0;1;0;1;0,96;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
19.09.11;0;1,14;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
20.09.11;0;1,14;0;0;0;1,06;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
